date,title,type,description,link
2024-02-28,Public workshop: adoption of new ITS Working Programme 2024-2028,News article,On 19 March 2024 the European Commission will organise a stakeholder workshop via videoconference to discuss the new Working Programme of the ITS Directive for the period 2024-2028.,https://transport.ec.europa.euhttps://transport.ec.europa.eu/news-events/events/public-workshop-adoption-new-its-working-programme-2024-2028-2024-03-19_en
2024-02-27,Recording available: Academic conference on future of EU mobility and transport,News article,"On 21 February 2024, the European Commission organised an all-day academic conference on the state of play on EU transport policy and the challenges and priorities for the future of EU transport and mobility. In case you missed it, you can still watch the recording!",https://transport.ec.europa.eu/news-events/news/recording-available-academic-conference-future-eu-mobility-and-transport-2024-02-27_en
2024-02-27,Commission welcomes provisional agreement modernising ship inspections and oversight,News article,"The Commission welcomes the political agreement reached between the European Parliament and the Council on updating the requirements for the Port State Control of vessels calling at EU ports, and on the flag State requirements for merchant vessels registered in EU Member States.",https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/IP_24_1182
2024-02-21,Extraordinary G7 Transport Ministerial welcomes EU maritime operation to safeguard Red Sea maritime security,News article,G7 Transport Ministers expressed strong condemnation of the attacks carried out by the Houthis against commercial vessels and navy ships in the Red Sea and Gulf of Aden.,https://transport.ec.europa.eu/news-events/news/extraordinary-g7-transport-ministerial-welcomes-eu-maritime-operation-safeguard-red-sea-maritime-2024-02-21_en
2024-02-16,Commission welcomes provisional agreement on tackling ship-source pollution to help make European seas cleaner,News article,The Commission welcomes the political agreement between the European Parliament and the Council on the amendment of Directive 2005/35/EC on ship-source pollution and on the introduction of penalties for pollution offences.,https://transport.ec.europa.eu/news-events/news/commission-welcomes-provisional-agreement-tackling-ship-source-pollution-help-make-european-seas-2024-02-16_en
2024-02-15,Commission welcomes provisional agreement modernising maritime accident investigations,News article,"The Commission welcomes the political agreement reached today between the European Parliament and the Council on the investigation of maritime accidents, modernising a 2009 Directive.",https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/ip_24_727
2024-02-12,Focus on urban public transport – first set of recommendations adopted by the Expert Group on Urban Mobility (EGUM),News article,"During its last plenary meeting on 16 January the Commission Expert Group on Urban Mobility (EGUM) adopted its first set of recommendations to the European Commission, primarily influenced by the recent work of the EGUM members on public transport and shared mobility.",https://transport.ec.europa.eu/news-events/news/focus-urban-public-transport-first-set-recommendations-adopted-expert-group-urban-mobility-egum-2024-02-12_en
2024-02-06,EU and Moldova launch high-level dialogue on transport,News article,"In a bid to strengthen cooperation in the transport field, Commissioner Adina Vălean and Moldova’s Minister for Infrastructure and Regional Development Andrei Spînu today launched the EU-Moldova high-level dialogue on transport.",https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/mex_24_674
2024-01-29,Commission proposes to modernise river information services in EU,News article,The Commission adopted a proposal to improve traffic management on the EU’s rivers and canals.,https://transport.ec.europa.eu/news-events/news/commission-proposes-modernise-river-information-services-eu-2024-01-29_en
2024-01-29,Global Gateway: €10 billion commitment to invest in Trans Caspian Transport Corridor connecting Europe and Central Asia announced at Investors Forum,News article,Executive Vice President Valdis Dombrovskis announced that European and international financial institutions present at the Forum will commit €10 billion in support and investments towards sustainable transport connectivity in Central Asia.,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/ip_24_501
2024-01-25,New report comparing air traffic management performance in Europe and the United States published,News article,"In the ongoing series of comparative reports between Europe and the US, the most recent update looks at operational as well as economic air traffic management (ATM) performance.",https://transport.ec.europa.eu/news-events/news/new-report-comparing-air-traffic-management-performance-europe-and-united-states-published-2024-01-25_en
2024-01-25,"STF: Call for applications for new sub-groups on hydrogen infrastructure, zero-emission heavy-duty vehicles and e-mobility Public Key Infrastructure",News article,Sustainable Transport Forum – new calls for applications,https://transport.ec.europa.eu/news-events/news/stf-call-applications-new-sub-groups-hydrogen-infrastructure-zero-emission-heavy-duty-vehicles-and-e-2024-01-25_en
2024-01-24,Commission supports military mobility projects with €807 million,News article,The Commission will fund 38 additional military mobility projects to support the transport of troops and equipment along the trans-European transport network (TEN-T).,https://transport.ec.europa.eu/news-events/news/commission-supports-military-mobility-projects-eu807-million-2024-01-24_en
2024-01-23,New deadline for the call for applications for the selection of members of the Digital Transport and Logistics Forum (DTLF),News article,Deadline for the call for applications for the selection of members of the Digital Transport and Logistics Forum (DTLF) extended.,https://transport.ec.europa.eu/news-events/news/new-deadline-call-applications-selection-members-digital-transport-and-logistics-forum-dtlf-2024-01-23_en
2024-01-22,Save the date: Global TBO Symposium (4-6 June 2024),News article,Towards global trajectory-based operations (TBO),https://transport.ec.europa.euhttps://transport.ec.europa.eu/news-events/events/global-tbo-symposium-2024-06-04_en
2024-01-19,European Commission workshop addresses key challenges in seafaring profession,News article,"Decarbonisation, digitalisation, social security and wellbeing at sea were the key topics on the agenda of the workshop for the seafaring profession on 17 January.",https://transport.ec.europa.eu/news-events/news/european-commission-workshop-addresses-key-challenges-seafaring-profession-2024-01-19_en
2024-01-16,“Europe for Aviation” teams up for Airspace World 2024,News article,"The “Europe for Aviation” partners, consisting of nine European aviation organisations working to promote the modernisation, sustainability, and resilience of a safe European aviation, will come together at Airspace World, from 19-21 March 2024 in Geneva, Switzerland.",https://transport.ec.europa.eu/news-events/news/europe-aviation-teams-airspace-world-2024-2024-01-16_en
