date,title,desc,type,link
2025-05-28 12:00:00+00:00,Solidarity Lanes: Latest figures – April 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-april-2025-2025-05-28_en
2025-05-22 12:00:00+00:00,Deadline extended: Call for applications for the selection of experts for the new Performance Review Board of the Single European Sky,"The recently adopted Regulation (EU) 2024/2803 on the implementation of the Single European Sky establishes a new Performance Review Board comprising seven members, including a chair, for which applications are now open.",News article,/news-events/news/deadline-extended-call-applications-selection-experts-new-performance-review-board-single-european-2025-05-22_en
2025-05-22 12:00:00+00:00,"Recommendations for Member States to help tackle transport poverty and promote fair, sustainable mobility",The Commission adopted a recommendation which proposes several measures to tackle the complex challenges of transport poverty across the EU.,News article,/news-events/news/recommendations-member-states-help-tackle-transport-poverty-and-promote-fair-sustainable-mobility-2025-05-22_en
2025-05-20 12:00:00+00:00,The Commission welcomes provisional agreement on new European Maritime Safety Agency mandate,The Commission welcomes the provisional political agreement reached today between the Parliament and the Council to update the EMSA mandate.,News article,/news-events/news/commission-welcomes-provisional-agreement-new-european-maritime-safety-agency-mandate-2025-05-20_en
2025-05-16 12:00:00+00:00,Vacancy for Assistants (establishment of a reserve list) (Contract Agent– FGIII) at the Europe's Rail Joint Undertaking (EU-RAIL),The deadline for applications is 05 June 2025 12:00 (Central European Time/ Brussels time),News article,https://rail-research.europa.eu/about-europes-rail/jobs/
2025-05-15 12:00:00+00:00,Commission and EU rail sector launch Women in Rail Award 2025,Apply before 17 June 2025!,News article,/news-events/news/commission-and-eu-rail-sector-launch-women-rail-award-2025-2025-05-15_en
2025-05-13 12:00:00+00:00,Deadline extended: Call for expressions of interest – Board of Appeal (European Union Agency for Railways),The deadline to submit an expression of interest is extended to 30 May 2025.,News article,https://transport.ec.europa.eu/facts-funding/calls-tenders/call-expressions-interest-board-appeal-european-union-agency-railways_en
2025-05-12 12:00:00+00:00,Commission launches call for evidence on Air Services Regulation revision,The Commission has launched a call for evidence to gather input from stakeholders on the upcoming revision of the Air Services Regulation,News article,/news-events/news/commission-launches-call-evidence-air-services-regulation-revision-2025-05-12_en
2025-05-07 12:00:00+00:00,Promoting competitive and attractive rail services: Commission adopts Guidelines on setting up charges for the use of railway infrastructure ,The European Commission today adopted Interpretative Guidelines on the setting up of charges for the use of railway infrastructure (‘track access charges’).,News article,/news-events/news/promoting-competitive-and-attractive-rail-services-commission-adopts-guidelines-setting-charges-use-2025-05-07_en
2025-05-07 12:00:00+00:00,May infringements package: key decisions,May infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_25_982
2025-04-24 12:00:00+00:00,Call for applications for the selection of experts for the new Performance Review Board of the Single European Sky,"The recently adopted Regulation on the implementation of the Single European Sky establishes a new Performance Review Board (PRB) comprising seven members, including a chair, for which applications are now open.",News article,https://transport.ec.europa.eu/news-events/news/deadline-extended-call-applications-selection-experts-new-performance-review-board-single-european-2025-05-22_en
2025-04-24 12:00:00+00:00,"Updated rules for safer roads, less air pollution and digital vehicle documents","For better road safety and air quality across the EU, the Commission is proposing a comprehensive overhaul of the EU’s road safety and vehicle registration rules.",News article,/news-events/news/updated-rules-safer-roads-less-air-pollution-and-digital-vehicle-documents-2025-04-24_en
2025-04-24 12:00:00+00:00,Solidarity Lanes: Latest figures – March 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-march-2025-2025-04-24_en
2025-03-11 12:00:00+00:00,Europe for Aviation Joins Forces at Airspace World 2025,Joining forces to make Europe the most efficient and environmentally friendly sky to fly in the world!,News article,https://transport.ec.europa.eu/news-events/events/europe-aviation-joins-forces-airspace-world-2025-2025-05-13_en
2025-03-05 12:00:00+00:00,Commission adopts decision on Schiphol Airport noise reduction plan,"Today, the Commission adopted a decision regarding measures to be introduced by the Netherlands at Schiphol Airport to reduce the aircraft noise burden on residents.",News article,/news-events/news/commission-adopts-decision-schiphol-airport-noise-reduction-plan-2025-03-05_en
2025-03-05 12:00:00+00:00,Commission boosts European automotive industry's global competitiveness,"The European automotive sector is at critical turning point, challenged by rapid technological changes and increasing competition. To address the changes ahead, President von der Leyen in January launched a Strategic Dialogue on the Future of the European Automotive Industry.",News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_635
2025-03-04 12:00:00+00:00,European Capital of Smart Tourism and European Green Pioneer of Smart Tourism 2026: applications open tomorrow,Tourism destinations across Europe are invited to submit their innovative practices of smart and sustainable tourism to become leading examples in European tourism.,News article,/news-events/news/european-capital-smart-tourism-and-european-green-pioneer-smart-tourism-2026-applications-open-2025-03-04_en
2025-03-03 12:00:00+00:00,Commission welcomes ICAO agreement on new aircraft standards for fuel efficiency and noise levels driving sustainability in aviation,"The Commission welcomes the landmark decision at the ICAOs Committee for Aviation Environmental Protection (CAEP), agreeing on a comprehensive set of new standards for fuel efficiency and noise levels for new aircraft applicable as of 2029.",News article,/news-events/news/commission-welcomes-icao-agreement-new-aircraft-standards-fuel-efficiency-and-noise-levels-driving-2025-03-03_en
2025-02-28 12:00:00+00:00,Commission brings clarity on ReFuelEU Aviation implementation,The Commission published a report assessing developments in the EU sustainable aviation fuels (SAF) market and evaluating possible improvements to the SAF flexibility mechanism.,News article,/news-events/news/commission-brings-clarity-refueleu-aviation-implementation-2025-02-28_en
2025-02-21 12:00:00+00:00,Commissioner Tzitzikostas hosts Strategic Dialogue roundtable with European automotive leaders,Commissioner Tzitzikostas hosts Strategic Dialogue roundtable with European automotive leaders,News article,/news-events/news/commissioner-tzitzikostas-hosts-strategic-dialogue-roundtable-european-automotive-leaders-2025-02-21_en
2025-02-19 12:00:00+00:00,Solidarity Lanes: Latest figures – January 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-january-2025-2025-02-19_en
2025-02-19 12:00:00+00:00,New proposal to strengthen the EU Mandatory Ship Reporting Systems,The Commission has adopted a crucial measure to enhance maritime safety and environmental protection within EU waters.,News article,/news-events/news/new-proposal-strengthen-eu-mandatory-ship-reporting-systems-2025-02-19_en
2025-02-18 12:00:00+00:00,European Commission champions global road safety at the Global Ministerial Conference in Morocco,"As a global advocate for safer roads, the European Commission is committed to driving evidence-based policymaking and supporting initiatives that reduce road casualties worldwide.",News article,/news-events/news/european-commission-champions-global-road-safety-global-ministerial-conference-morocco-2025-02-18_en
2025-02-17 12:00:00+00:00,Expert Group on Urban Mobility presents work to advance sustainable urban mobility,"The Commission’s Expert Group on Urban Mobility (EGUM) has successfully fulfilled the objectives outlined in its Work Programme 2023-2024 by delivering the last set of insightful reports, including recommendations and feedback to policy on a wide range of topics.",News article,/news-events/news/expert-group-urban-mobility-presents-work-advance-sustainable-urban-mobility-2025-02-17_en
2025-02-12 12:00:00+00:00,February infringements package: key decisions,February infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_25_242
2025-02-06 12:00:00+00:00,"EU mobilises €422 million to support the deployment of alternative fuels infrastructure in road, maritime and air transport",The Commission has selected 39 new projects deploying alternative fuels infrastructure that will receive over €422 million in EU support.,News article,/news-events/news/eu-mobilises-eu422-million-support-deployment-alternative-fuels-infrastructure-road-maritime-and-air-2025-02-06_en
2025-02-04 12:00:00+00:00,European Maritime Transport Environmental Report 2025 highlights progress made in sustainable maritime transport but challenges still persist,"Today, the second edition of the European Maritime Transport Environmental Report was released, providing a comprehensive overview of the environmental impact of Europe's maritime sector within the EU, as well as an assessment of practices to make it more sustainable.",News article,/news-events/news/european-maritime-transport-environmental-report-2025-highlights-progress-made-sustainable-maritime-2025-02-04_en
